True Cost 	Penalty 	Adjusted Cost
4.758924E+06	0.000000E+00	4.758924E+06
2.800216E+06	0.000000E+00	2.800216E+06
3.948450E+06	0.000000E+00	3.948450E+06
2.627334E+36	0.000000E+00	2.627334E+36
6.611582E+06	0.000000E+00	6.611582E+06
4.951465E+05	0.000000E+00	4.951465E+05
3.413135E+06	0.000000E+00	3.413135E+06
2.135535E+05	0.000000E+00	2.135535E+05
1.289160E+05	0.000000E+00	1.289160E+05
1.251941E+05	0.000000E+00	1.251941E+05
2.565165E+05	0.000000E+00	2.565165E+05
3.545459E+06	0.000000E+00	3.545459E+06
1.450991E+05	0.000000E+00	1.450991E+05
7.162686E+04	0.000000E+00	7.162686E+04
1.557997E+04	0.000000E+00	1.557997E+04
6.066626E+04	0.000000E+00	6.066626E+04
7.337668E+03	0.000000E+00	7.337668E+03
6.793211E+03	0.000000E+00	6.793211E+03
7.478256E+03	0.000000E+00	7.478256E+03
8.752017E+03	0.000000E+00	8.752017E+03
1.620473E+04	0.000000E+00	1.620473E+04
5.639792E+03	0.000000E+00	5.639792E+03
5.541883E+03	0.000000E+00	5.541883E+03
6.230616E+05	0.000000E+00	6.230616E+05
4.235708E+04	0.000000E+00	4.235708E+04
6.454326E+03	0.000000E+00	6.454326E+03
5.418620E+03	0.000000E+00	5.418620E+03
2.705281E+04	0.000000E+00	2.705281E+04
5.311876E+03	0.000000E+00	5.311876E+03
5.314637E+03	0.000000E+00	5.314637E+03
5.569087E+04	0.000000E+00	5.569087E+04
5.555702E+03	0.000000E+00	5.555702E+03
5.384408E+03	0.000000E+00	5.384408E+03
5.290278E+03	0.000000E+00	5.290278E+03
