x,y,type,element_type,abs_errors,rel_errors,transient_err
53129.1,3172.02,0,0,-5.47575e-08,5.47575e-08,0,FarField
8000,5928.97,0,0,-0.0177313,0.0177313,0,Eastern Boundary
8000,5809.7,0,0,0.0291166,0.0291166,0,Eastern Boundary
8000,5576.37,0,0,-0.0141907,0.0141907,0,Eastern Boundary
8000,5239.19,0,0,-0.00656494,0.00656494,0,Eastern Boundary
8000,4812.88,0,0,0.0264355,0.0264355,0,Eastern Boundary
8000,4316.09,0,0,-0.0385683,0.0385683,0,Eastern Boundary
8000,3770.51,0,0,0.0408933,0.0408933,0,Eastern Boundary
8000,3200,0,0,-0.0319749,0.0319749,0,Eastern Boundary
8000,2629.49,0,0,0.0140169,0.0140169,0,Eastern Boundary
8000,2083.91,0,0,0.0111503,0.0111503,0,Eastern Boundary
8000,1587.12,0,0,-0.0385574,0.0385574,0,Eastern Boundary
8000,1160.81,0,0,0.0655577,0.0655577,0,Eastern Boundary
8000,823.626,0,0,-0.084659,0.084659,0,Eastern Boundary
8000,590.301,0,0,0.0902193,0.0902193,0,Eastern Boundary
8000,471.032,0,0,-0.0459385,0.0459385,0,Eastern Boundary
1631.88,2177.17,0,0,0.00297615,0.00297615,0,Yellowstone River
1618.25,2138.83,0,0,-0.0051911,0.0051911,0,Yellowstone River
1591.59,2063.83,0,0,0.00325393,0.00325393,0,Yellowstone River
1553.05,1955.45,0,0,-0.000246056,0.000246056,0,Yellowstone River
1504.33,1818.43,0,0,-0.00297149,0.00297149,0,Yellowstone River
1447.55,1658.74,0,0,0.00528999,0.00528999,0,Yellowstone River
1385.2,1483.38,0,0,-0.00626319,0.00626319,0,Yellowstone River
1320,1300,0,0,0.00536406,0.00536406,0,Yellowstone River
1254.8,1116.62,0,0,-0.00274927,0.00274927,0,Yellowstone River
1192.45,941.258,0,0,-0.00146938,0.00146938,0,Yellowstone River
1135.67,781.573,0,0,0.00645142,0.00645142,0,Yellowstone River
1086.95,644.546,0,0,-0.0116896,0.0116896,0,Yellowstone River
1048.41,536.166,0,0,0.0155862,0.0155862,0,Yellowstone River
1021.75,461.168,0,0,-0.0169924,0.0169924,0,Yellowstone River
1008.12,422.832,0,0,0.00871702,0.00871702,0,Yellowstone River
2439.73,3759.96,0,0,0.000514947,0.000514947,0,Yellowstone River
2422.47,3726.31,0,0,-0.000984535,0.000984535,0,Yellowstone River
2388.73,3660.48,0,0,0.000877701,0.000877701,0,Yellowstone River
2339.95,3565.34,0,0,-0.000615112,0.000615112,0,Yellowstone River
2278.29,3445.06,0,0,0.00029169,0.00029169,0,Yellowstone River
2206.43,3304.9,0,0,3.73298e-06,3.73298e-06,0,Yellowstone River
2127.52,3150.97,0,0,-0.000225471,0.000225471,0,Yellowstone River
2045,2990,0,0,0.000339598,0.000339598,0,Yellowstone River
1962.48,2829.03,0,0,-0.000336263,0.000336263,0,Yellowstone River
1883.57,2675.1,0,0,0.000227423,0.000227423,0,Yellowstone River
1811.71,2534.94,0,0,-4.31004e-05,4.31004e-05,0,Yellowstone River
1750.05,2414.66,0,0,-0.000175399,0.000175399,0,Yellowstone River
1701.27,2319.52,0,0,0.000366786,0.000366786,0,Yellowstone River
1667.53,2253.69,0,0,-0.000467776,0.000467776,0,Yellowstone River
1650.27,2220.04,0,0,0.000255215,0.000255215,0,Yellowstone River
4967.66,5971.84,0,0,0.0332574,0.0332574,0,Yellowstone River
4913.35,5924.56,0,0,-0.0635646,0.0635646,0,Yellowstone River
4807.1,5832.06,0,0,0.0552877,0.0552877,0,Yellowstone River
4653.56,5698.39,0,0,-0.0374672,0.0374672,0,Yellowstone River
4459.44,5529.39,0,0,0.0154301,0.0154301,0,Yellowstone River
4233.22,5332.45,0,0,0.0041158,0.0041158,0,Yellowstone River
3984.79,5116.17,0,0,-0.0189937,0.0189937,0,Yellowstone River
3725,4890,0,0,0.0266606,0.0266606,0,Yellowstone River
3465.21,4663.83,0,0,-0.0274001,0.0274001,0,Yellowstone River
3216.78,4447.55,0,0,0.0215555,0.0215555,0,Yellowstone River
2990.56,4250.61,0,0,-0.0115868,0.0115868,0,Yellowstone River
2796.44,4081.61,0,0,-0.000565278,0.000565278,0,Yellowstone River
2642.9,3947.94,0,0,0.0112581,0.0112581,0,Yellowstone River
2536.65,3855.44,0,0,-0.0177823,0.0177823,0,Yellowstone River
2482.34,3808.16,0,0,0.010152,0.010152,0,Yellowstone River
4829.76,5258.73,0,0,0.00269338,0.00269338,0,Gravel Pond
4821.69,5258.95,0,0,-0.00517041,0.00517041,0,Gravel Pond
4805.9,5259.37,0,0,0.00390098,0.00390098,0,Gravel Pond
4783.09,5259.98,0,0,-0.00201011,0.00201011,0,Gravel Pond
4754.25,5260.75,0,0,-0.000493295,0.000493295,0,Gravel Pond
4720.64,5261.64,0,0,0.00224416,0.00224416,0,Gravel Pond
4683.73,5262.63,0,0,-0.0035447,0.0035447,0,Gravel Pond
4645.13,5263.66,0,0,0.00336002,0.00336002,0,Gravel Pond
4606.53,5264.69,0,0,-0.002387,0.002387,0,Gravel Pond
4569.62,5265.67,0,0,-5.03031e-05,5.03031e-05,0,Gravel Pond
4536.01,5266.57,0,0,0.00273421,0.00273421,0,Gravel Pond
4507.17,5267.33,0,0,-0.00610565,0.00610565,0,Gravel Pond
4484.36,5267.94,0,0,0.0083579,0.0083579,0,Gravel Pond
4468.58,5268.36,0,0,-0.00962437,0.00962437,0,Gravel Pond
4460.51,5268.58,0,0,0.00480236,0.00480236,0,Gravel Pond
4949.27,5527.92,0,0,0.00318782,0.00318782,0,Gravel Pond
4946.8,5522.11,0,0,-0.00643308,0.00643308,0,Gravel Pond
4941.96,5510.75,0,0,0.00546015,0.00546015,0,Gravel Pond
4934.96,5494.32,0,0,-0.00393235,0.00393235,0,Gravel Pond
4926.11,5473.56,0,0,0.00153022,0.00153022,0,Gravel Pond
4915.81,5449.36,0,0,0.000229368,0.000229368,0,Gravel Pond
4904.49,5422.78,0,0,-0.00193496,0.00193496,0,Gravel Pond
4892.65,5394.99,0,0,0.00242088,0.00242088,0,Gravel Pond
4880.82,5367.2,0,0,-0.00250379,0.00250379,0,Gravel Pond
4869.5,5340.63,0,0,0.0013404,0.0013404,0,Gravel Pond
4859.19,5316.43,0,0,-5.61117e-05,5.61117e-05,0,Gravel Pond
4850.35,5295.66,0,0,-0.00195026,0.00195026,0,Gravel Pond
4843.35,5279.24,0,0,0.00326726,0.00326726,0,Gravel Pond
4838.51,5267.87,0,0,-0.00428227,0.00428227,0,Gravel Pond
4836.03,5262.06,0,0,0.00213603,0.00213603,0,Gravel Pond
4752.35,5544.72,0,0,0.00169464,0.00169464,0,Gravel Pond
4756.63,5544.43,0,0,-0.00346182,0.00346182,0,Gravel Pond
4765.01,5543.87,0,0,0.00244864,0.00244864,0,Gravel Pond
4777.1,5543.05,0,0,-0.00130763,0.00130763,0,Gravel Pond
4792.4,5542.03,0,0,-0.000508155,0.000508155,0,Gravel Pond
4810.23,5540.83,0,0,0.00155165,0.00155165,0,Gravel Pond
4829.8,5539.51,0,0,-0.00252383,0.00252383,0,Gravel Pond
4850.27,5538.14,0,0,0.00225737,0.00225737,0,Gravel Pond
4870.75,5536.76,0,0,-0.00166115,0.00166115,0,Gravel Pond
4890.32,5535.44,0,0,-0.000123154,0.000123154,0,Gravel Pond
4908.15,5534.25,0,0,0.0018991,0.0018991,0,Gravel Pond
4923.44,5533.22,0,0,-0.00429265,0.00429265,0,Gravel Pond
4935.54,5532.4,0,0,0.00578135,0.00578135,0,Gravel Pond
4943.92,5531.84,0,0,-0.00669255,0.00669255,0,Gravel Pond
4948.2,5531.55,0,0,0.003311,0.003311,0,Gravel Pond
4459.43,5272.21,0,0,0.00449095,0.00449095,0,Gravel Pond
4465.7,5278.09,0,0,-0.00867974,0.00867974,0,Gravel Pond
4477.95,5289.6,0,0,0.00778282,0.00778282,0,Gravel Pond
4495.66,5306.23,0,0,-0.00558698,0.00558698,0,Gravel Pond
4518.05,5327.25,0,0,0.00274829,0.00274829,0,Gravel Pond
4544.14,5351.76,0,0,-0.00015329,0.00015329,0,Gravel Pond
4572.79,5378.66,0,0,-0.00191185,0.00191185,0,Gravel Pond
4602.75,5406.8,0,0,0.00300845,0.00300845,0,Gravel Pond
4632.72,5434.93,0,0,-0.00312114,0.00312114,0,Gravel Pond
4661.37,5461.84,0,0,0.00221096,0.00221096,0,Gravel Pond
4687.46,5486.34,0,0,-0.000625272,0.000625272,0,Gravel Pond
4709.85,5507.37,0,0,-0.0013714,0.0013714,0,Gravel Pond
4727.56,5524,0,0,0.00311557,0.00311557,0,Gravel Pond
4739.81,5535.5,0,0,-0.00411104,0.00411104,0,Gravel Pond
4746.07,5541.39,0,0,0.00224378,0.00224378,0,Gravel Pond
3700,1508.88,0,0,-2.98218e-07,2.98218e-07,0,Zone D
3700,1523.79,0,0,8.0704e-07,8.0704e-07,0,Zone D
3700,1552.95,0,0,-1.20895e-06,1.20895e-06,0,Zone D
3700,1595.1,0,0,1.36511e-06,1.36511e-06,0,Zone D
3700,1648.39,0,0,-1.31154e-06,1.31154e-06,0,Zone D
3700,1710.49,0,0,9.942e-07,9.942e-07,0,Zone D
3700,1778.69,0,0,-5.33844e-07,5.33844e-07,0,Zone D
3700,1850,0,0,-6.56008e-08,6.56008e-08,0,Zone D
3700,1921.31,0,0,6.12977e-07,6.12977e-07,0,Zone D
3700,1989.51,0,0,-1.11476e-06,1.11476e-06,0,Zone D
3700,2051.61,0,0,1.37331e-06,1.37331e-06,0,Zone D
3700,2104.9,0,0,-1.45893e-06,1.45893e-06,0,Zone D
3700,2147.05,0,0,1.24093e-06,1.24093e-06,0,Zone D
3700,2176.21,0,0,-8.60109e-07,8.60109e-07,0,Zone D
3700,2191.12,0,0,2.95266e-07,2.95266e-07,0,Zone D
3700,1203.81,0,0,4.52309e-08,4.52309e-08,0,Zone D
3700,1210.19,0,0,3.13951e-07,3.13951e-07,0,Zone D
3700,1222.69,0,0,3.91639e-07,3.91639e-07,0,Zone D
3700,1240.76,0,0,3.8157e-07,3.8157e-07,0,Zone D
3700,1263.6,0,0,3.51198e-07,3.51198e-07,0,Zone D
3700,1290.21,0,0,3.16777e-07,3.16777e-07,0,Zone D
3700,1319.44,0,0,2.82473e-07,2.82473e-07,0,Zone D
3700,1350,0,0,2.49768e-07,2.49768e-07,0,Zone D
3700,1380.56,0,0,2.20461e-07,2.20461e-07,0,Zone D
3700,1409.79,0,0,1.94711e-07,1.94711e-07,0,Zone D
3700,1436.4,0,0,1.72675e-07,1.72675e-07,0,Zone D
3700,1459.24,0,0,1.50866e-07,1.50866e-07,0,Zone D
3700,1477.31,0,0,1.06429e-07,1.06429e-07,0,Zone D
3700,1489.81,0,0,-8.37657e-08,8.37657e-08,0,Zone D
3700,1496.19,0,0,-9.47682e-07,9.47682e-07,0,Zone D
3700,410.147,0,0,3.9097e-07,3.9097e-07,0,Zone D
3700,427.186,0,0,-6.08467e-07,6.08467e-07,0,Zone D
3700,460.518,0,0,1.17447e-06,1.17447e-06,0,Zone D
3700,508.687,0,0,-9.53236e-07,9.53236e-07,0,Zone D
3700,569.588,0,0,1.03061e-06,1.03061e-06,0,Zone D
3700,640.559,0,0,-2.04759e-07,2.04759e-07,0,Zone D
3700,718.499,0,0,-9.42303e-08,9.42303e-08,0,Zone D
3700,800,0,0,1.36331e-06,1.36331e-06,0,Zone D
3700,881.501,0,0,-1.57612e-06,1.57612e-06,0,Zone D
3700,959.441,0,0,2.82976e-06,2.82976e-06,0,Zone D
3700,1030.41,0,0,-2.43125e-06,2.43125e-06,0,Zone D
3700,1091.31,0,0,3.10682e-06,3.10682e-06,0,Zone D
3700,1139.48,0,0,-1.9129e-06,1.9129e-06,0,Zone D
3700,1172.81,0,0,1.89715e-06,1.89715e-06,0,Zone D
3700,1189.85,0,0,-1.53363e-07,1.53363e-07,0,Zone D
6464.48,400,0,0,0,0,0,Zone D
6404.85,400,0,0,0,0,0,Zone D
6288.19,400,0,0,0,0,0,Zone D
6119.59,400,0,0,0,0,0,Zone D
5906.44,400,0,0,0,0,0,Zone D
5658.04,400,0,0,0,0,0,Zone D
5385.25,400,0,0,0,0,0,Zone D
