Daily output for entire watershed
Day 	 Precipitation (cm) 	 Temperature (deg. C) 	 Snowmelt (cm) 	 Precip.+Snowmelt 	 Hamon's PET (cm) 	 Snowpack (cm) 	 GW storage (cm) 	 Stream storage (cm) 	 Stream Flow (m^3/s) 
1    	  1.77800000000E-01 	  +1.544444400000E+01 	 1.415642E+00 	  1.593442000E+00 	  2.559300194E-01 	 0.000000E+00 	  1.06460342E-01 	  +1.57673300000E+01 	  +6.73911483439E+00 
2    	  1.57480000000E+00 	  +1.600000000000E+01 	 0.000000E+00 	  1.574800000E+00 	  2.644771637E-01 	 0.000000E+00 	  7.41890186E-04 	  +3.00420157784E+01 	  +6.56701656941E+00 
3    	  2.13360000000E+00 	  +1.794444400000E+01 	 0.000000E+00 	  2.133600000E+00 	  2.969147599E-01 	 0.000000E+00 	  5.17001014E-06 	  +2.92748261817E+01 	  +6.37901763450E+00 
4    	  0.00000000000E+00 	  +2.222222200000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.809163873E-01 	 0.000000E+00 	  3.60282497E-08 	  +2.84367536592E+01 	  +6.19431844358E+00 
5    	  0.00000000000E+00 	  +2.144444400000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.638537471E-01 	 0.000000E+00 	  2.51070063E-10 	  +2.76133909262E+01 	  +6.01496598715E+00 
6    	  0.00000000000E+00 	  +2.122222200000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.588220776E-01 	 0.000000E+00 	  1.74963195E-12 	  +2.68138631753E+01 	  +5.84080655677E+00 
7    	  1.70180000000E+00 	  +1.800000000000E+01 	 0.000000E+00 	  1.701800000E+00 	  2.966712334E-01 	 0.000000E+00 	  1.21926602E-14 	  +2.60374851964E+01 	  +5.67258631523E+00 
8    	  1.01600000000E-01 	  +1.694444400000E+01 	 0.000000E+00 	  1.016000000E-01 	  2.782198457E-01 	 0.000000E+00 	  8.49669910E-17 	  +2.52875832768E+01 	  +5.50834026565E+00 
9    	  0.00000000000E+00 	  +1.611111100000E+01 	 0.000000E+00 	  0.000000000E+00 	  2.642815908E-01 	 0.000000E+00 	  5.92109470E-19 	  +2.45553977399E+01 	  +5.34884985368E+00 
10   	  0.00000000000E+00 	  +1.861111100000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.064518270E-01 	 0.000000E+00 	  4.12623326E-21 	  +2.38444121594E+01 	  +5.19397738292E+00 
11   	  0.00000000000E+00 	  +2.044444400000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.408033211E-01 	 0.000000E+00 	  2.87544817E-23 	  +2.31540127042E+01 	  +5.04358914388E+00 
12   	  1.62560000000E+00 	  +2.150000000000E+01 	 0.000000E+00 	  1.625600000E+00 	  3.618048725E-01 	 0.000000E+00 	  2.00381357E-25 	  +2.24836033164E+01 	  +4.89923959081E+00 
13   	  0.00000000000E+00 	  +2.138888900000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.589397759E-01 	 0.000000E+00 	  1.39639756E-27 	  +2.18401135321E+01 	  +4.75738529296E+00 
14   	  0.00000000000E+00 	  +2.077777800000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.458930764E-01 	 0.000000E+00 	  9.73107569E-30 	  +2.12077472409E+01 	  +4.61963829411E+00 
15   	  0.00000000000E+00 	  +2.177777800000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.659051763E-01 	 0.000000E+00 	  6.78129471E-32 	  +2.05936907046E+01 	  +4.48587967007E+00 
16   	  0.00000000000E+00 	  +2.283333300000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.881046089E-01 	 0.000000E+00 	  4.72568085E-34 	  +1.99974137761E+01 	  +4.35599394004E+00 
17   	  0.00000000000E+00 	  +2.405555600000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.153218423E-01 	 0.000000E+00 	  3.29318521E-36 	  +1.94184016585E+01 	  +4.22986896690E+00 
18   	  6.09600000000E-01 	  +2.294444400000E+01 	 0.000000E+00 	  6.096000000E-01 	  3.891709859E-01 	 0.000000E+00 	  2.29492198E-38 	  +1.88561544605E+01 	  +4.10739586038E+00 
19   	  0.00000000000E+00 	  +2.427777800000E+01 	 0.000000E+00 	  0.000000000E+00 	  4.190128689E-01 	 0.000000E+00 	  1.59926228E-40 	  +1.83101867646E+01 	  +3.98846888305E+00 
20   	  0.00000000000E+00 	  +2.250000000000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.779412544E-01 	 0.000000E+00 	  1.11447790E-42 	  +1.77800272084E+01 	  +3.87298535905E+00 
21   	  1.01600000000E-01 	  +1.883333300000E+01 	 0.000000E+00 	  1.016000000E-01 	  3.047205669E-01 	 0.000000E+00 	  7.76646217E-45 	  +1.72652180776E+01 	  +3.76084558542E+00 
22   	  1.21920000000E+00 	  +1.916666700000E+01 	 0.000000E+00 	  1.219200000E+00 	  3.101280438E-01 	 0.000000E+00 	  5.41221450E-47 	  +1.67653149106E+01 	  +3.65196232548E+00 
23   	  0.00000000000E+00 	  +1.916666700000E+01 	 0.000000E+00 	  0.000000000E+00 	  3.094712383E-01 	 0.000000E+00 	  3.77160992E-49 	  +1.62799288186E+01 	  +3.54622213012E+00 
