True Cost 	Penalty 	Adjusted Cost
4.758924E+06	0.000000E+00	4.758924E+06
2.800216E+06	0.000000E+00	2.800216E+06
3.948450E+06	0.000000E+00	3.948450E+06
2.627334E+36	0.000000E+00	2.627334E+36
6.611582E+06	0.000000E+00	6.611582E+06
4.951465E+05	0.000000E+00	4.951465E+05
3.413135E+06	0.000000E+00	3.413135E+06
2.135535E+05	0.000000E+00	2.135535E+05
1.289160E+05	0.000000E+00	1.289160E+05
1.251941E+05	0.000000E+00	1.251941E+05
2.565165E+05	0.000000E+00	2.565165E+05
3.545459E+06	0.000000E+00	3.545459E+06
1.450991E+05	0.000000E+00	1.450991E+05
7.162686E+04	0.000000E+00	7.162686E+04
1.557997E+04	0.000000E+00	1.557997E+04
