True Cost 	Penalty 	Adjusted Cost
2.357321E+06	0.000000E+00	2.357321E+06
8.660644E+05	0.000000E+00	8.660644E+05
4.290818E+05	0.000000E+00	4.290818E+05
1.353656E+06	0.000000E+00	1.353656E+06
2.172522E+05	0.000000E+00	2.172522E+05
3.982215E+05	0.000000E+00	3.982215E+05
4.436306E+05	0.000000E+00	4.436306E+05
8.242093E+04	0.000000E+00	8.242093E+04
4.634650E+04	0.000000E+00	4.634650E+04
1.513854E+05	0.000000E+00	1.513854E+05
1.425482E+05	0.000000E+00	1.425482E+05
1.476286E+04	0.000000E+00	1.476286E+04
2.980741E+04	0.000000E+00	2.980741E+04
2.916313E+05	0.000000E+00	2.916313E+05
1.014439E+05	0.000000E+00	1.014439E+05
5.416340E+03	0.000000E+00	5.416340E+03
5.151542E+03	0.000000E+00	5.151542E+03
5.398665E+03	0.000000E+00	5.398665E+03
1.163017E+05	0.000000E+00	1.163017E+05
1.095113E+04	0.000000E+00	1.095113E+04
5.151540E+03	0.000000E+00	5.151540E+03
1.513699E+05	0.000000E+00	1.513699E+05
4.944283E+03	0.000000E+00	4.944283E+03
1.175290E+04	0.000000E+00	1.175290E+04
1.349125E+05	0.000000E+00	1.349125E+05
5.236465E+03	0.000000E+00	5.236465E+03
4.898346E+03	0.000000E+00	4.898346E+03
1.102153E+06	0.000000E+00	1.102153E+06
1.800309E+04	0.000000E+00	1.800309E+04
4.897028E+03	0.000000E+00	4.897028E+03
4.895056E+03	0.000000E+00	4.895056E+03
3.192738E+03	0.000000E+00	3.192738E+03
4.028522E+04	0.000000E+00	4.028522E+04
8.607541E+04	0.000000E+00	8.607541E+04
1.610830E+05	0.000000E+00	1.610830E+05
3.346667E+03	0.000000E+00	3.346667E+03
1.169565E+05	0.000000E+00	1.169565E+05
8.694710E+04	0.000000E+00	8.694710E+04
7.340019E+05	0.000000E+00	7.340019E+05
3.221007E+03	0.000000E+00	3.221007E+03
3.177093E+03	0.000000E+00	3.177093E+03
2.404623E+03	0.000000E+00	2.404623E+03
2.822815E+04	0.000000E+00	2.822815E+04
2.706443E+03	0.000000E+00	2.706443E+03
2.312390E+03	0.000000E+00	2.312390E+03
2.180333E+03	0.000000E+00	2.180333E+03
2.961817E+05	0.000000E+00	2.961817E+05
2.698060E+03	0.000000E+00	2.698060E+03
2.246385E+03	0.000000E+00	2.246385E+03
2.816644E+03	0.000000E+00	2.816644E+03
2.085618E+03	0.000000E+00	2.085618E+03
2.091863E+03	0.000000E+00	2.091863E+03
6.274240E+03	0.000000E+00	6.274240E+03
2.097903E+03	0.000000E+00	2.097903E+03
2.117805E+03	0.000000E+00	2.117805E+03
1.874783E+03	0.000000E+00	1.874783E+03
1.998962E+03	0.000000E+00	1.998962E+03
1.801215E+03	0.000000E+00	1.801215E+03
2.091653E+03	0.000000E+00	2.091653E+03
4.345532E+04	0.000000E+00	4.345532E+04
1.799089E+03	0.000000E+00	1.799089E+03
1.518906E+03	0.000000E+00	1.518906E+03
6.134947E+04	0.000000E+00	6.134947E+04
1.502093E+03	0.000000E+00	1.502093E+03
7.010906E+04	0.000000E+00	7.010906E+04
4.550652E+03	0.000000E+00	4.550652E+03
4.450118E+04	0.000000E+00	4.450118E+04
1.836099E+05	0.000000E+00	1.836099E+05
1.493423E+03	0.000000E+00	1.493423E+03
1.763724E+03	0.000000E+00	1.763724E+03
2.449873E+03	0.000000E+00	2.449873E+03
1.460702E+03	0.000000E+00	1.460702E+03
